timestamp,STRAT,BTC
2020-11-12,0.5376,15684.25
2020-11-11,0.5389,15297.21
2020-11-10,0.5181,15328.41
2020-11-09,0.4937,15475.1
2020-11-08,0.4362,14818.3
2020-11-07,0.4932,15579.93
2020-11-06,472,15590.02
2020-11-05,0.4051,14144.01
2020-11-04,368,14023.53
2020-11-03,0.3722,13549.63
2020-11-02,0.3843,13761.49
2020-11-01,0.3808,13791.0
2020-10-31,0.3886,13560.1
2020-10-30,0.4103,13455.69
2020-10-29,0.4526,13266.4
2020-10-28,0.4544,13636.16
2020-10-27,0.4445,13052.15
2020-10-26,0.4413,13029.64
2020-10-25,0.4274,13111.73
2020-10-24,426,12923.06
2020-10-23,0.4181,12968.84
2020-10-22,0.4274,12780.75
2020-10-21,0.3828,11910.0
2020-10-20,0.4068,11751.46
2020-10-19,0.4112,11503.14
2020-10-18,0.4221,11360.31
2020-10-17,0.4119,11319.24
2020-10-16,0.4361,11505.13
2020-10-15,0.4431,11417.89
2020-10-14,0.4609,11420.57
2020-10-13,0.4414,11528.24
2020-10-12,0.45,11369.02
2020-10-11,0.4522,11293.22
2020-10-10,0.4345,11050.64
2020-10-09,0.4121,10925.44
2020-10-08,0.3957,10666.4
2020-10-07,0.3965,10599.65
2020-10-06,0.4281,10792.2
2020-10-05,0.4191,10666.62
2020-10-04,0.4277,10542.07
2020-10-03,0.4226,10570.4
2020-10-02,0.4342,10619.13
2020-10-01,0.4467,10776.59
2020-09-30,0.4462,10840.58
2020-09-29,0.4509,10696.11
2020-09-28,0.4684,10774.26
2020-09-27,0.4975,10728.59
2020-09-26,0.4977,10686.57
2020-09-25,0.3994,10736.33
2020-09-24,0.3666,10241.46
2020-09-23,0.4101,10529.61
2020-09-22,0.4073,10417.22
2020-09-21,0.4516,10920.28
2020-09-20,0.4694,11080.64
2020-09-19,0.4652,10933.4
2020-09-18,0.4709,10940.0
2020-09-17,0.4832,10954.01
2020-09-16,0.4965,10785.23
2020-09-15,0.4948,10671.77
2020-09-14,0.4968,10332.84
2020-09-13,542,10440.67
2020-09-12,535,10387.89
2020-09-11,0.4902,10336.86
2020-09-10,0.4619,10219.29
2020-09-09,0.4418,10126.66
2020-09-08,0.4631,10373.45
2020-09-07,0.4689,10255.89
2020-09-06,0.4509,10166.69
2020-09-05,0.4973,10446.25
2020-09-04,0.4639,10138.29
2020-09-03,0.5659,11388.54
2020-09-02,0.6003,11921.97
2020-09-01,0.5959,11649.51
2020-08-31,0.6206,11711.17
2020-08-30,0.6194,11465.84
2020-08-29,0.6101,11526.9
2020-08-28,0.5921,11330.38
2020-08-27,657,11461.42
2020-08-26,0.68,11318.42
2020-08-25,691,11748.19
2020-08-24,0.6695,11648.12
2020-08-23,681,11663.51
2020-08-22,0.6388,11531.23
2020-08-21,0.5988,11853.54
2020-08-20,0.5687,11754.38
2020-08-19,0.6062,11945.1
2020-08-18,0.6188,12281.15
2020-08-17,0.6283,11910.99
2020-08-16,0.6204,11852.4
2020-08-15,0.6399,11760.55
2020-08-14,0.6306,11779.77
2020-08-13,0.6343,11564.34
2020-08-12,611,11392.09
2020-08-11,596,11892.9
2020-08-10,0.5992,11681.69
2020-08-09,0.5947,11761.02
2020-08-08,0.5599,11594.36
2020-08-07,0.5389,11762.47
2020-08-06,0.5342,11744.91
2020-08-05,0.5429,11191.99
2020-08-04,0.5576,11219.68
2020-08-03,0.5436,11071.36
2020-08-02,0.5639,11801.17
2020-08-01,0.5516,11335.46
2020-07-31,565,11099.79
2020-07-30,0.5642,11100.52
2020-07-29,0.5652,10906.27
2020-07-28,0.5583,11029.96
2020-07-27,0.6104,9931.54
2020-07-26,0.6017,9700.42
2020-07-25,0.5942,9538.1
2020-07-24,0.6006,9603.27
2020-07-23,0.6038,9518.16
2020-07-22,0.6295,9390.0
2020-07-21,0.6658,9160.78
2020-07-20,631,9208.99
2020-07-19,0.6085,9170.3
2020-07-18,566,9154.31
2020-07-17,0.5827,9133.72
2020-07-16,0.5664,9197.6
2020-07-15,572,9255.85
2020-07-14,0.5722,9242.61
2020-07-13,0.6321,9303.31
2020-07-12,653,9234.02
2020-07-11,0.6429,9288.34
2020-07-10,0.5909,9232.42
2020-07-09,0.5687,9436.06
2020-07-08,504,9257.4
2020-07-07,0.4768,9342.47
2020-07-06,0.4619,9069.41
2020-07-05,0.4499,9135.0
2020-07-04,0.4427,9057.79
2020-07-03,0.4469,9086.54
2020-07-02,0.4235,9231.99
2020-07-01,443,9138.08
2020-06-30,0.4473,9192.93
2020-06-29,0.4525,9116.16
2020-06-28,0.4448,9012.0
2020-06-27,0.4813,9162.21
2020-06-26,0.5007,9249.49
2020-06-25,0.5101,9298.33
2020-06-24,0.4995,9624.33
2020-06-23,0.4925,9685.69
2020-06-22,471,9294.69
2020-06-21,0.4535,9358.95
2020-06-20,0.4762,9310.23
2020-06-19,0.4607,9386.32
2020-06-18,0.5279,9465.13
2020-06-17,0.4317,9526.97
2020-06-16,0.4,9426.05
2020-06-15,0.3744,9342.1
2020-06-14,0.3988,9473.34
2020-06-13,0.3703,9464.96
2020-06-12,0.3472,9278.88
2020-06-11,0.4019,9885.22
2020-06-10,0.3591,9772.44
2020-06-09,0.3601,9782.0
2020-06-08,0.3556,9746.99
2020-06-07,0.3664,9666.85
2020-06-06,0.3686,9621.17
2020-06-05,0.3536,9788.14
2020-06-04,0.3546,9666.32
2020-06-03,0.3406,9518.02
2020-06-02,0.3546,10202.71
2020-06-01,0.3359,9448.27
2020-05-31,0.3466,9697.72
2020-05-30,0.3306,9426.6
2020-05-29,0.3371,9575.87
2020-05-28,0.3209,9204.07
2020-05-27,0.3236,8841.0
2020-05-26,0.3346,8900.35
2020-05-25,0.31,8718.14
2020-05-24,0.3366,9179.01
2020-05-23,0.3266,9170.0
2020-05-22,0.3039,9067.51
2020-05-21,0.3214,9511.43
2020-05-20,0.3183,9775.13
2020-05-19,0.3182,9733.93
2020-05-18,0.3095,9681.11
2020-05-17,0.3034,9380.81
2020-05-16,0.2938,9315.96
2020-05-15,0.3078,9791.97
2020-05-14,0.3122,9309.35
2020-05-13,0.2985,8810.99
2020-05-12,0.2797,8562.04
2020-05-11,0.2875,8722.77
2020-05-10,0.3211,9539.1
2020-05-09,0.3228,9800.02
2020-05-08,0.3135,9986.3
2020-05-07,0.3086,9143.4
2020-05-06,0.3217,9021.36
2020-05-05,0.3258,8871.92
2020-05-04,0.3302,8894.15
2020-05-03,0.3328,8972.58
2020-05-02,0.3287,8825.67
2020-05-01,0.3172,8620.0
2020-04-30,0.34,8778.58
2020-04-29,0.3333,7738.58
2020-04-28,0.3308,7773.51
2020-04-27,0.3187,7693.1
2020-04-26,0.3213,7539.03
2020-04-25,0.3153,7505.0
2020-04-24,0.3055,7483.96
2020-04-23,0.2944,7125.12
2020-04-22,0.2834,6841.36
2020-04-21,0.2877,6828.98
2020-04-20,0.3051,7121.4
2020-04-19,0.3202,7248.6
2020-04-18,0.3001,7026.78
2020-04-17,301,7101.99
2020-04-16,0.2827,6621.25
2020-04-15,0.2836,6868.57
2020-04-14,0.2744,6838.04
2020-04-13,0.2694,6903.79
2020-04-12,0.2711,6876.84
2020-04-11,0.2663,6858.92
2020-04-10,0.2921,7283.54
2020-04-09,0.2881,7360.26
2020-04-08,281,7197.32
2020-04-07,0.2913,7329.9
2020-04-06,276,6772.78
2020-04-05,0.2777,6857.41
2020-04-04,0.2785,6732.97
2020-04-03,0.2571,6793.86
2020-04-02,0.2616,6643.36
2020-04-01,0.2567,6412.14
2020-03-31,0.2395,6394.45
2020-03-30,0.2185,5880.5
2020-03-29,0.2407,6236.65
2020-03-28,0.2335,6359.11
2020-03-27,0.2558,6737.27
2020-03-26,0.2509,6677.42
2020-03-25,0.2511,6744.69
2020-03-24,0.2721,6465.25
2020-03-23,0.2286,5816.05
2020-03-22,252,6187.04
2020-03-21,0.2469,6204.57
2020-03-20,0.2776,6162.05
2020-03-19,0.2088,5393.26
2020-03-18,0.1892,5312.64
2020-03-17,0.1718,5028.86
2020-03-16,0.1938,5360.33
2020-03-15,208,5172.48
2020-03-14,0.1863,5576.05
2020-03-13,0.1556,4800.01
2020-03-12,0.3136,7934.58
2020-03-11,0.3315,7894.57
2020-03-10,0.3257,7929.87
2020-03-09,0.3255,8034.76
2020-03-08,0.3832,8885.25
2020-03-07,0.4075,9130.89
2020-03-06,0.3974,9054.64
2020-03-05,0.3854,8750.99
2020-03-04,369,8760.07
2020-03-03,0.3739,8911.18
2020-03-02,0.3488,8530.3
2020-03-01,0.3646,8523.61
2020-02-29,0.3572,8690.8
2020-02-28,0.3655,8823.25
2020-02-27,0.3464,8786.0
2020-02-26,0.3904,9316.48
2020-02-25,0.4223,9655.52
2020-02-24,0.4595,9936.4
2020-02-23,0.4513,9650.85
2020-02-22,0.4408,9677.05
2020-02-21,0.4367,9597.21
2020-02-20,0.4565,9594.65
2020-02-19,0.4567,10164.78
