,currency code,currency name
3,AAVE,Aave
8,ADA,Cardano
17,AION,Aion
20,ALGO,Algorand
26,ANT,Aragon
29,ARDR,Ardor
34,ATM,ATMChain
35,ATOM,Cosmos
38,AVAX,Avalanche
41,BAND,Band Protocol
42,BAT,Basic-Attention-Token
46,BCC,BitConnect
48,BCH,Bitcoin-Cash
71,BLZ,Bluzelle
73,BNB,Binance-Coin
74,BNT,Bancor-Network-Token
84,BTC,Bitcoin
88,BTG,Bitcoin-Gold
90,BTS,BitShares
92,BTT,BitTorrent
95,BUSD,Binance-USD
100,CAKE,PancakeSwap
115,COMP,Compound
125,CTXC,Cortex
127,CVC,Civic
128,DAI,Dai
130,DASH,Dash
131,DATA,DATAcoin
136,DCR,Decred
139,DENT,Dent
141,DGB,DigiByte
148,DNT,district0x
149,DOGE,DogeCoin
151,DOT,Polkadot
165,EGLD,Elrond
175,ENJ,Enjin-Coin
177,EOS,EOS
181,ETC,Ethereum-Classic
182,ETH,Ethereum
193,FIL,Filecoin
199,FTT,FTX Token
201,FUN,FunFair
215,GRT,Graph
218,GTC,Game
219,GTO,Gifto
222,GXS,GXShares
233,ICX,ICON
248,IOST,IOStoken
249,IOTA,IOTA
250,IOTX,IoTeX
260,KLAY,Klaytn
261,KMD,Komodo
262,KNC,Kyber-Network
264,KSM,Kusama
267,LEND,EthLend
272,LINK,ChainLink
299,MITH,Mithril
300,MKR,Maker
301,MLN,Melon
316,NANO,Nano
323,NEO,NEO
329,NMR,Numeraire
332,NPXS,Pundi-X-Token
335,NULS,Nuls
348,OMG,OmiseGo
351,ONT,Ontology
390,QTUM,Qtum
403,REP,Augur
404,REQ,Request-Network
408,RLC,RLC-Token
413,RUNE,THORChain
421,SC,Siacoin
441,SOL,Solana
447,SNX,Synthetix-Network-Token
452,STORJ,Storj
453,STORM,Storm
455,STRAT,Stratis
456,STX,Stox
468,THETA,Theta-Token
484,TRX,Tronix
485,TUSD,TrueUSD
491,UNI,Uniswap
499,UTK,UTrust
501,VEN,VeChain
503,VET,VeChain
518,WAN,Wanchain
519,WAVES,Waves
527,WTC,Walton
537,XEM,NEM
541,XLM,Stellar
543,XMR,Monero
554,XVG,Verge
556,XZC,ZCoin
563,ZEC,Zcash
564,ZEN,ZenCash
566,ZIL,Zilliqa
568,ZRX,0x
